,Raw,P5(l<1000),P5(l<1000)+P5(l<500)
448.0,0.9448812890370065,0.9401625301857917,0.9381794730790216
449.0,0.9429670221388138,0.9406745860925765,0.9386735801709631
450.0,0.9408929667503356,0.9411822970117596,0.9391628225704123
451.0,0.9427950632769913,0.941685690760387,0.9396472607338564
452.0,0.9427996200355867,0.9421847950524738,0.9401269545590099
453.0,0.9429723332340677,0.9426796374991442,0.94060196364362
454.0,0.9438840216694461,0.9431702456087794,0.9410723475433715
455.0,0.9454933110124594,0.9436566467871541,0.9415381660307884
456.0,0.947088416924915,0.9441388683375884,0.9419994793530642
457.0,0.947475962383916,0.9446169374610829,0.9424563484909267
458.0,0.9463673802602707,0.9450908812564687,0.9429088354169077
459.0,0.9445255211394616,0.9455607267205455,0.943357003353535
460.0,0.946637943015425,0.9460265007482267,0.9438009170318953
461.0,0.9488007503972,0.9464882301326862,0.9442406429502834
462.0,0.9483159165684296,0.946945941565495,0.9446762496317971
463.0,0.9480924025742068,0.9473996616367699,0.9451078078836701
464.0,0.9486175076623207,0.9478494168353147,0.9455353910552058
465.0,0.9492203514496974,0.9482952335487635,0.9459590752959468
466.0,0.9490230135655968,0.9487371380637246,0.9463789398145626
467.0,0.949202155965676,0.9491751565659226,0.9467950671369405
468.0,0.9509488994266604,0.9496093151403435,0.9472075433645919
469.0,0.9527010054401677,0.9500396397713764,0.9476164584332103
470.0,0.950347245385201,0.9504661563429577,0.9480219063707862
471.0,0.9499709353778394,0.9508888906387138,0.9484239855563015
472.0,0.9508933873575746,0.9513078683421055,0.9488227989779359
473.0,0.9515979343695639,0.9517231150365684,0.9492184544914333
474.0,0.9523141035218693,0.9521346562056625,0.949611065078739
475.0,0.9535281114902127,0.9525425172332049,0.9500007491060174
476.0,0.9543936458961085,0.9529467234034261,0.9503876305823813
477.0,0.9538381265590516,0.9533472999011026,0.9507718394180587
478.0,0.9544288866427943,0.9537442718117057,0.9511535116830439
479.0,0.9545433144786235,0.9541376641215422,0.9515327898650583
480.0,0.9538815933382143,0.9545275017179002,0.95190982312837
481.0,0.9544488047506124,0.9549138093891907,0.9522847675720252
482.0,0.954997497608596,0.9552966118250907,0.9526577864882455
483.0,0.9557139101991728,0.9556759336166873,0.9530290506206196
484.0,0.9567668566114634,0.9560517992566213,0.9533987384230622
